Year,fossil_fuels__twh
1965,79.1189
1966,76.8785
1967,75.01718
1968,78.68955
1969,89.606026
1970,94.58033
1971,97.82478
1972,104.421036
1973,117.273766
1974,125.50778
1975,154.57945
1976,164.83072
1977,216.87085
1978,246.13062
1979,280.32062
1980,301.86047
1981,323.9159
1982,330.00012
1983,347.6607
1984,382.74515
1985,404.804
1986,427.85284
1987,451.94354
1988,476.51855
1989,526.29944
1990,577.78107
1991,628.0453
1992,685.2572
1993,734.45264
1994,771.4894
1995,839.4823
1996,900.4041
1997,987.608
1998,955.59766
1999,1045.11
2000,1120.7551
2001,1195.4318
2002,1234.5375
2003,1347.7485
2004,1330.411
2005,1367.98
2006,1395.4698
2007,1495.4548
2008,1509.4739
2009,1549.363
2010,1663.9152
2011,1774.5859
2012,1870.2937
2013,1743.6487
2014,1771.8632
2015,1823.6007
2016,1777.4062
2017,1916.0562
2018,1964.019
2019,2063.5376
2020,1895.2218
2021,1957.7019
2022,2472.9053
2023,2491.822
2024,2663.0469
