Order,p,d,q,Split,Split_Ratio,Train_Size,Test_Size,MAPE,MAE,RMSE,R2,AIC,BIC,Converged,Status
"(0, 1, 0)",0,1,0,70:30,0.7,42,18,9.394834646495037,180.86481368261636,234.17586041009346,0.47102679870773567,386.3653926434571,389.74315155168495,True,Success
"(0, 1, 0)",0,1,0,75:25,0.75,45,15,9.517397959553179,181.9763198510849,223.4025445898742,0.4275707754013236,416.7520494072203,420.2744496386074,True,Success
"(0, 1, 0)",0,1,0,80:19,0.8,48,12,17.965354700018104,354.4692998636752,377.20538394697144,-0.5460632128986844,445.68812351356723,449.34540630654544,True,Success
"(0, 1, 0)",0,1,0,85:15,0.85,51,9,6.761692454807668,147.4340248463607,164.04591431076506,0.7044166556121735,506.8708156797518,510.654456275973,True,Success
"(0, 1, 1)",0,1,1,70:30,0.7,42,18,8.804076926332824,168.587120996744,220.22090159481547,0.5321932392536419,375.8473647670833,380.83804970547226,True,Success
"(0, 1, 1)",0,1,1,75:25,0.75,45,15,9.35771717645283,178.59808731097056,220.25290922364857,0.4435977544789025,407.71802825456604,412.93103710941614,True,Success
"(0, 1, 1)",0,1,1,80:19,0.8,48,12,17.786804652136066,350.5583021445048,373.52082221687164,-0.5160066791634106,436.21688765867253,441.6368751279835,True,Success
"(0, 1, 1)",0,1,1,85:15,0.85,51,9,6.727280256784201,146.61397694221748,163.09333149828984,0.7078394791604761,497.7147048988632,503.3283079315869,True,Success
"(1, 1, 0)",1,1,0,70:30,0.7,42,18,7.118607822136854,134.9990170594571,173.32616110098414,0.7102138282110326,379.72030545421933,384.7869438165611,True,Success
"(1, 1, 0)",1,1,0,75:25,0.75,45,15,8.615717756872249,164.1621617562417,200.72321323020006,0.5378948928688152,413.7274364020723,419.011036749153,True,Success
"(1, 1, 0)",1,1,0,80:19,0.8,48,12,17.256364285469843,338.8831347662397,362.76266564693896,-0.4299361640057924,442.54727207300914,448.03319626247645,True,Success
"(1, 1, 0)",1,1,0,85:15,0.85,51,9,6.701049798149921,146.27455240940023,163.31225016653465,0.7070546240398191,506.3015448430505,511.9770057373824,True,Success
"(1, 1, 1)",1,1,1,70:30,0.7,42,18,5.287611127690962,109.9744376093758,149.6485590246297,0.7839797322748492,365.6710268728697,372.3252734573883,True,Success
"(1, 1, 1)",1,1,1,75:25,0.75,45,15,6.53419374061321,134.6266737554615,154.47702203154068,0.7263009157996083,398.74864725247636,405.6993257256098,True,Success
"(1, 1, 1)",1,1,1,80:19,0.8,48,12,22.028525298867592,443.3869656095006,467.4265136566841,-1.374095402576276,430.87556766654063,438.1022176256219,True,Success
"(1, 1, 1)",1,1,1,85:15,0.85,51,9,6.884973392855959,162.93959238095826,227.68350165932,0.4306068398384786,497.16670594864524,504.65150999227683,True,Success
"(1, 2, 1)",1,2,1,70:30,0.7,42,18,6.313440088247332,133.34232503476917,191.4065951865436,0.6466027081068176,350.72649393956175,357.2768385784673,True,Success
"(1, 2, 1)",1,2,1,75:25,0.75,45,15,11.004859394927232,239.2263850006948,315.6786658142916,-0.14297315911076436,382.7327262685787,389.5870145353959,True,Success
"(1, 2, 1)",1,2,1,80:19,0.8,48,12,22.564445947735734,452.61631641651275,476.3669444912101,-1.4657822185804381,421.622792654758,428.759551190431,True,Success
"(1, 2, 1)",1,2,1,85:15,0.85,51,9,6.768785082206076,155.78724716898276,201.80400927826068,0.55268990224302,488.39059162074744,495.7911820275877,True,Success
"(1, 2, 4)",1,2,4,70:30,0.7,42,18,8.562961117609117,162.80017046917868,217.5473696121623,0.543482853074452,328.4436454962568,339.3310819266827,True,Success
"(1, 2, 4)",1,2,4,75:25,0.75,45,15,6.448251414218724,142.51165425590779,209.67786747816632,0.4957443779421389,355.64691509085446,367.11001820893915,True,Success
"(1, 2, 4)",1,2,4,80:19,0.8,48,12,17.130690987385943,337.12859722266495,362.7715518150883,-0.43000621977519393,393.9280152842042,405.92301975113435,True,Success
"(1, 2, 4)",1,2,4,85:15,0.85,51,9,7.908979461162896,171.8884624127767,191.43148240129506,0.5974907672201945,454.822937110762,467.31226454818983,True,Success
"(1, 2, 5)",1,2,5,70:30,0.7,42,18,6.674755977165314,128.64297511875805,153.88474664276796,0.7715766118766676,311.37437765727435,323.5852618542036,True,Success
