
Year,Actual (TWh),Predicted (TWh),Error (TWh),Absolute Error,APE (%)
2015,1823.6007,1767.5729193593004,56.027780640699575,56.027780640699575,3.0723710865377263
2016,1777.4062,1816.5984429504106,-39.19224295041067,39.19224295041067,2.205024543653031
2017,1916.0562,1872.088183235964,43.968016764036065,43.968016764036065,2.294714359841641
2018,1964.019,1896.9898028748323,67.02919712516768,67.02919712516768,3.4128588941943887
2019,2063.5376,1948.2557347114762,115.28186528852393,115.28186528852393,5.586613264935125
2020,1895.2218,1926.5907983839045,-31.368998383904454,31.368998383904454,1.6551623870042258
2021,1957.7019,2004.2078057183314,-46.505905718331405,46.505905718331405,2.3755356072511042
2022,2472.9053,2084.298803299308,388.6064967006919,388.6064967006919,15.714572519242523
2023,2491.822,2121.3942995342054,370.4277004657947,370.4277004657947,14.865736816907255
2024,2663.0469,2143.948783719114,519.0981162808857,519.0981162808857,19.492638912250694
